Unnamed: 0,index,id,uri,nome,siglaPartido,uriPartido,siglaUf,idLegislatura,urlFoto,x,y,z,cores,top_1_deputy,top_2_deputy,top_3_deputy,top_4_deputy,top_5_deputy,top_6_deputy,top_7_deputy,top_8_deputy,top_9_deputy,top_10_deputy,distance,first_name,gender
189,189,215043,https://dadosabertos.camara.leg.br/api/v2/deputados/215043,Josivaldo JP,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,MA,56,https://www.camara.gov.br/internet/deputado/bandep/215043.jpg,0.3447937071323395,-0.0861381441354751,-0.0268481578677892,#BDB76B,217.0,351.0,194.0,150.0,138.0,201.0,99.0,184.0,122.0,68.0,0.3564032883322755,Josivaldo,Masculino
190,190,204420,https://dadosabertos.camara.leg.br/api/v2/deputados/204420,Julian Lemos,UNIÃO,https://dadosabertos.camara.leg.br/api/v2/partidos/38009,PB,56,https://www.camara.gov.br/internet/deputado/bandep/204420.jpg,0.2042126655578613,-0.0184434112161397,0.3207635879516601,#8B4513,72.0,88.0,150.0,194.0,210.0,217.0,300.0,351.0,,,0.3806996868230349,Julian,Masculino
191,191,74317,https://dadosabertos.camara.leg.br/api/v2/deputados/74317,Júlio Cesar,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,PI,56,https://www.camara.gov.br/internet/deputado/bandep/74317.jpg,-0.1422000378370285,-0.1597127169370651,0.4004813134670257,#BDB76B,,,,,,,,,,,0.4539981113931483,Júlio,Masculino
192,192,204372,https://dadosabertos.camara.leg.br/api/v2/deputados/204372,Julio Cesar Ribeiro,REPUBLICANOS,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,DF,56,https://www.camara.gov.br/internet/deputado/bandep/204372.jpg,0.195401519536972,-0.0652364045381546,0.1928789317607879,#FF7F00,275.0,423.0,48.0,210.0,180.0,99.0,217.0,152.0,96.0,138.0,0.2822052881000036,Julio,Masculino
193,193,73586,https://dadosabertos.camara.leg.br/api/v2/deputados/73586,Júlio Delgado,PV,https://dadosabertos.camara.leg.br/api/v2/partidos/36851,MG,56,https://www.camara.gov.br/internet/deputado/bandep/73586.jpg,0.0016958544729277,0.4331642985343933,-0.0970512330532074,#00FF7F,,,,,,,,,,,0.4439066650595982,Júlio,Masculino
194,194,204457,https://dadosabertos.camara.leg.br/api/v2/deputados/204457,Juninho do Pneu,UNIÃO,https://dadosabertos.camara.leg.br/api/v2/partidos/38009,RJ,56,https://www.camara.gov.br/internet/deputado/bandep/204457.jpg,0.1749452650547027,0.0219639651477336,0.0785425677895546,#8B4513,138.0,217.0,150.0,351.0,99.0,37.0,184.0,201.0,88.0,125.0,0.1930212332492148,Juninho,Masculino
195,195,204520,https://dadosabertos.camara.leg.br/api/v2/deputados/204520,Junio Amaral,PL,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,MG,56,https://www.camara.gov.br/internet/deputado/bandep/204520.jpg,0.0446042828261852,-0.3866942226886749,0.0198706444352865,#8B0000,332.0,234.0,377.0,176.0,220.0,227.0,46.0,150.0,138.0,99.0,0.389765065670989,Junio,Masculino
196,196,204497,https://dadosabertos.camara.leg.br/api/v2/deputados/204497,Júnior Ferrari,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,PA,56,https://www.camara.gov.br/internet/deputado/bandep/204497.jpg,0.1457991003990173,-0.0575620047748088,0.0461027286946773,#BDB76B,217.0,351.0,220.0,176.0,194.0,184.0,234.0,189.0,72.0,99.0,0.1633897905744201,Júnior,Masculino
197,197,204550,https://dadosabertos.camara.leg.br/api/v2/deputados/204550,Júnior Mano,PL,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,CE,56,https://www.camara.gov.br/internet/deputado/bandep/204550.jpg,-0.3732224404811859,-0.0277013853192329,0.2275558412075042,#8B0000,,,,,,,,,,,0.4380000201997619,Júnior,Masculino
198,198,204536,https://dadosabertos.camara.leg.br/api/v2/deputados/204536,Kim Kataguiri,UNIÃO,https://dadosabertos.camara.leg.br/api/v2/partidos/38009,SP,56,https://www.camara.gov.br/internet/deputado/bandep/204536.jpg,0.5067828893661499,-0.1423898339271545,-0.1114871948957443,#8B4513,,,,,,,,,,,0.5380828527149213,Kim,Masculino
199,199,151208,https://dadosabertos.camara.leg.br/api/v2/deputados/151208,Laercio Oliveira,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,SE,56,https://www.camara.gov.br/internet/deputado/bandep/151208.jpg,-0.3536989390850067,-0.1501480340957641,0.016682306304574,#00BFFF,351.0,217.0,194.0,130.0,63.0,273.0,201.0,152.0,241.0,138.0,0.3846110645786489,Laercio,Masculino
200,200,98057,https://dadosabertos.camara.leg.br/api/v2/deputados/98057,Lafayette de Andrada,REPUBLICANOS,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,MG,56,https://www.camara.gov.br/internet/deputado/bandep/98057.jpg,0.147624135017395,-0.3897586762905121,-0.1947702020406723,#FF7F00,,,,,,,,,,,0.4600436311767945,Lafayette,Feminino
