,Unnamed: 0,id,uri,nome,siglaPartido,uriPartido,siglaUf,idLegislatura,urlFoto,x,y,z,cores
32,32,69871,https://dadosabertos.camara.leg.br/api/v2/deputados/69871,Bacelar,PV,https://dadosabertos.camara.leg.br/api/v2/partidos/36851,BA,56,http://www.camara.gov.br/internet/deputado/bandep/69871.jpg,0.317594438791275,0.2597986161708832,0.3136032223701477,#e377c2
33,33,73701,https://dadosabertos.camara.leg.br/api/v2/deputados/73701,Benedita da Silva,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,RJ,56,http://www.camara.gov.br/internet/deputado/bandep/73701.jpg,-0.0184039957821369,0.40126433968544,0.5005142092704773,#d62728
34,34,141335,https://dadosabertos.camara.leg.br/api/v2/deputados/141335,Beto Faro,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,PA,56,http://www.camara.gov.br/internet/deputado/bandep/141335.jpg,0.1669933050870895,0.5733753442764282,0.1012683436274528,#d62728
35,35,204358,https://dadosabertos.camara.leg.br/api/v2/deputados/204358,Beto Pereira,PSDB,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,MS,56,http://www.camara.gov.br/internet/deputado/bandep/204358.jpg,-0.1890652477741241,0.0034274808131158,0.2708312571048736,#1f77b4
39,39,204561,https://dadosabertos.camara.leg.br/api/v2/deputados/204561,Bira do Pindaré,PSB,https://dadosabertos.camara.leg.br/api/v2/partidos/36832,MA,56,http://www.camara.gov.br/internet/deputado/bandep/204561.jpg,0.1695907413959503,0.555332362651825,-0.0570754371583461,#90ee90
40,40,160538,https://dadosabertos.camara.leg.br/api/v2/deputados/160538,Bohn Gass,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,RS,56,http://www.camara.gov.br/internet/deputado/bandep/160538.jpg,-0.0540474094450473,0.472964197397232,0.1860716640949249,#d62728
42,42,93083,https://dadosabertos.camara.leg.br/api/v2/deputados/93083,Cacá Leão,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,BA,56,http://www.camara.gov.br/internet/deputado/bandep/93083.jpg,0.0012420809362083,-0.1146304830908775,-0.0776343643665313,#008000
43,43,204352,https://dadosabertos.camara.leg.br/api/v2/deputados/204352,Camilo Capiberibe,PSB,https://dadosabertos.camara.leg.br/api/v2/partidos/36832,AP,56,http://www.camara.gov.br/internet/deputado/bandep/204352.jpg,0.1895587742328643,0.4461117386817932,-0.1598375886678695,#90ee90
51,51,204426,https://dadosabertos.camara.leg.br/api/v2/deputados/204426,Carlos Veras,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,PE,56,http://www.camara.gov.br/internet/deputado/bandep/204426.jpg,0.2099235951900482,0.4971943795681,0.1760435998439788,#d62728
52,52,141398,https://dadosabertos.camara.leg.br/api/v2/deputados/141398,Carlos Zarattini,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,SP,56,http://www.camara.gov.br/internet/deputado/bandep/141398.jpg,0.3135747611522674,0.377218633890152,0.3379387557506561,#d62728
54,54,204370,https://dadosabertos.camara.leg.br/api/v2/deputados/204370,Célio Moura,PT,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,TO,56,http://www.camara.gov.br/internet/deputado/bandep/204370.jpg,0.1023077219724655,0.3968411982059479,0.3194473087787628,#d62728
55,55,204488,https://dadosabertos.camara.leg.br/api/v2/deputados/204488,Célio Studart,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,CE,56,http://www.camara.gov.br/internet/deputado/bandep/204488.jpg,-0.1190370544791221,0.4018386602401733,-0.3034400343894958,#660000
58,58,204504,https://dadosabertos.camara.leg.br/api/v2/deputados/204504,Cezinha de Madureira,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,SP,56,http://www.camara.gov.br/internet/deputado/bandep/204504.jpg,0.2625613212585449,-0.1096923053264617,-0.0241301544010639,#660000
59,59,205476,https://dadosabertos.camara.leg.br/api/v2/deputados/205476,Charles Fernandes,PSD,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,BA,56,http://www.camara.gov.br/internet/deputado/bandep/205476.jpg,0.076993778347969,0.0499160848557949,0.0126890987157821,#660000
60,60,204490,https://dadosabertos.camara.leg.br/api/v2/deputados/204490,Charlles Evangelista,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,MG,56,http://www.camara.gov.br/internet/deputado/bandep/204490.jpg,-0.085400179028511,-0.2982193231582641,-0.12079319357872,#008000
61,61,141439,https://dadosabertos.camara.leg.br/api/v2/deputados/141439,Chico D`Angelo,PDT,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,RJ,56,http://www.camara.gov.br/internet/deputado/bandep/141439.jpg,0.2018457651138305,0.2952201068401336,-0.1670694798231125,#32cd32
63,63,178928,https://dadosabertos.camara.leg.br/api/v2/deputados/178928,Christiane de Souza Yared,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,PR,56,http://www.camara.gov.br/internet/deputado/bandep/178928.jpg,0.2296445220708847,-0.0929222255945205,-0.0489903204143047,#008000
64,64,204440,https://dadosabertos.camara.leg.br/api/v2/deputados/204440,Christino Aureo,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,RJ,56,http://www.camara.gov.br/internet/deputado/bandep/204440.jpg,0.1892911344766616,-0.265133261680603,0.0748759508132934,#008000
66,66,74537,https://dadosabertos.camara.leg.br/api/v2/deputados/74537,Claudio Cajado,PP,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,BA,56,http://www.camara.gov.br/internet/deputado/bandep/74537.jpg,-0.0446340925991535,-0.0827378258109092,-0.1956413239240646,#008000
